n,implementation,repeat,overall_s,computation_s,prime_count,sha256,source
111000000,openmp,2,4.177205,3.702336,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\openmp_run_2.txt
111000000,mpi,2,4.614272,3.61314,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\mpi_run_2.txt
111000000,hybrid,2,1.94679,0.911187,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\hybrid_run_2.txt
111000000,serial,3,14.891854,14.390238,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\serial_run_3.txt
111000000,openmp,3,4.204952,3.706353,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\openmp_run_3.txt
111000000,mpi,3,4.495595,3.609545,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\mpi_run_3.txt
111000000,hybrid,3,1.883375,0.910632,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\hybrid_run_3.txt
112000000,serial,1,15.008383,14.566613,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\serial_run_1.txt
112000000,openmp,1,4.222287,3.750555,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\openmp_run_1.txt
112000000,mpi,1,4.67309,3.649517,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\mpi_run_1.txt
112000000,hybrid,1,1.927112,0.93035,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\hybrid_run_1.txt
112000000,serial,2,15.050657,14.573574,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\serial_run_2.txt
112000000,openmp,2,4.301484,3.750772,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\openmp_run_2.txt
112000000,mpi,2,4.658408,3.647012,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\mpi_run_2.txt
112000000,hybrid,2,1.992374,0.922258,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\hybrid_run_2.txt
112000000,serial,3,15.093488,14.572158,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\serial_run_3.txt
112000000,openmp,3,4.249565,3.744385,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\openmp_run_3.txt
112000000,mpi,3,4.548309,3.649413,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\mpi_run_3.txt
112000000,hybrid,3,2.081427,1.037458,6411057,d88388c936d0f7ec9d5896c60768ee5fc18f820a6555ada5b5dc8338f294a0d3,dataset_112000000_130926\hybrid_run_3.txt
